id,class,count,%
-1,None,,
,Review,,
1,Unknown,,
2,Acropora spp.,,
3,Acropora cervicornis,68,2.7397260273972606
4,Acropora palmata,,
5,Porites spp.,,
6,Porites porites,1,0.040290088638195005
7,Porites furcata,,
8,Porites divaricata,,
9,Porites astreoides,1,0.040290088638195005
10,Oculina spp.,,
11,Oculina robusta,,
12,Oculina varicosa,,
13,Oculina diffusa,,
14,Madracis spp.,,
15,Madracis auretenra,,
16,Madracis formosa,,
17,Madracis decactis,,
18,Dendrogyra cylindrus,,
19,Siderastrea spp.,,
20,Siderastrea siderea,10,0.40290088638195004
21,Siderastrea radians,,
22,Stephanocoenia intersepta,1,0.040290088638195005
23,Montastraea cavernosa,1,0.040290088638195005
24,Orbicella spp.,,
25,Orbicella annularis,,
26,Orbicella faveolata,2,0.08058017727639001
27,Orbicella franksi,,
28,Favia fragum,,
29,Dichocoenia stokesii,2,0.08058017727639001
30,Solenastraea bournoni,,
31,Solenastraea hyades,,
32,Colpophyllia natans,,
33,Pseudodiploria spp.,,
34,Pseudodiploria strigosa,,
35,Pseudodiploria clivosa,,
36,Diploria labyrinthiformis,,
37,Manicina areolata,,
38,Meandrina spp.,,
39,Meandrina meandrites,,
40,Meandrina danae,,
41,Meandrina jacksoni,,
42,Helioseris cucullata,,
43,Agaricia spp.,,
44,Agaricia fragilis,,
45,Agaricia lamarcki,,
46, Agaricia agaricites,,
47,Mycetophyllia spp.,,
48,Mycetophyllia lamarckiana,,
49,Mycetophyllia aliciae,,
50,Mycetophyllia ferox,,
51,Mycetophyllia reesi,,
52,Isophyllia spp.,,
53,Isophyllia sinuosa,,
54,Isophyllia rigida,,
55,Scolymia spp.,,
56,Scolymia cubensis,,
57,Scolymia wellsi,,
58,Mussa angulosa,,
59,Eusmilia fastigiata,,
60,Octocorallia,114,4.593070104754231
61,Gorgonia ventalina,,
62,Xestospongia muta,,
63,Thalassia testudinum,,
64,Halimeda,,
65,Dictyota spp.,,
66,Crustose coralline algae,1,0.040290088638195005
67,Porifera,136,5.479452054794521
68,Cnidaria,,
69,Red algae,,
70,Green algae,,
71,Brown algae,,
72,Palythoa,128,5.157131345688961
73,Rubble,1770,71.31345688960516
74,Turf algae,196,7.896857373086221
75,Other,16,0.6446414182111201
76,Millepora spp.,35,1.4101531023368252
